  18Suites                  Stes          Stes  Stes        WDR                                 
  19Trailer                 Trlr          Trlr  Trlr        WDR                                 
  20Unit                    Unit          Unit  Unit        WDR                                 
  21#                       #             #     #           WDR                                 
  22Bay                     Bay           Bay   Bay         WDR                                 
  23Mobile Home             MH            MH    MH          WDR                                 
  24Department              Dept          Dept  Dept        WDR                                 
  25Hanger                  Hanger        Hngr  Hngr        WDR                                 
  26Pier                    Pier          Pier  Pier        WDR                                 
  27Slip                    Slip          Slip  Slip        WDR                                 
  28Stop                    Stop          Stop  Stop        WDR                                 
   1Mile Post               Mi            Mi    Mi          MPR                                 
  01Alabama                 AL            AL    AL  A       SARU                                
  02Alaska                  AK            AK    AK  A       SARU                                
  04Arizona                 AZ            AZ    AZ  A       SARU                                
  05Arkansas                AR            AR    AR  A       SARU                                
  06California              CA            CA    CA  A       SARU                                
  08Colorado                CO            CO    CO  A       SARU                                
  09Connecticut             CT            CT    CT  A       SARU                                
  10Delaware                DE            DE    DE  A       SARU                                
  11District of Columbia    DC            DC    DC  A       SARU                                
  12Florida                 FL            FL    FL  A       SARU                                
  13Georgia                 GA            GA    GA  A       SARU                                
  15Hawaii                  HI            HI    HI  A       SARU                                
  16Idaho                   ID            ID    ID  A       SARU                                
  17Illinois                IL            IL    IL  A       SARU                                
  18Indiana                 IN            IN    IN  A       SARU                                
  19Iowa                    IA            IA    IA  A       SARU                                
  20Kansas                  KS            KS    KS  A       SARU                                
  21Kentucky                KY            KY    KY  A       SARU                                
  22Louisiana               LA            LA    LA  A       SARU                                
  23Maine                   ME            ME    ME  A       SARU                                
  24Maryland                MD            MD    MD  A       SARU                                
  25Massachusetts           MA            MA    MA  A       SARU                                
  26Michigan                MI            MI    MI  A       SARU                                
  27Minnesota               MN            MN    MN  A       SARU                                
  28Mississippi             MS            MS    MS  A       SARU                                
  29Missouri                MO            MO    MO  A       SARU                                
  30Montana                 MT            MT    MT  A       SARU                                
  31Nebraska                NE            NE    NE  A       SARU                                
  32Nevada                  NV            NV    NV  A       SARU                                
  33New Hampshire           NH            NH    NH  A       SARU                                
  34New Jersey              NJ            NJ    NJ  A       SARU                                
  35New Mexico              NM            NM    NM  A       SARU                                
  36New York                NY            NY    NY  A       SARU                                
  37North Carolina          NC            NC    NC  A       SARU                                
  38North Dakota            ND            ND    ND  A       SARU                                
  39Ohio                    OH            OH    OH  A       SARU                                
  40Oklahoma                OK            OK    OK  A       SARU                                
  41Oregon                  OR            OR    OR  A       SARU                                
  42Pennsylvania            PA            PA    PA  A       SARU                                
  44Rhode Island            RI            RI    RI  A       SARU                                
  45South Carolina          SC            SC    SC  A       SARU                                
